loan_id,grade,purpose,state,loan_amount,interest_rate,default_flag,pred_default_probability,risk_band
100031,D,home_improvement,FL,8793.0,0.102,1,0.47855948577689195,Medium
100032,C,home_improvement,GA,19628.0,0.102,1,0.4282048881800824,Medium
100033,B,debt_consolidation,WA,1000.0,0.1195,1,0.23044551635933663,Low
100034,C,small_business,NY,12835.0,0.1024,1,0.39780839339854795,Medium
100035,C,small_business,IL,26649.0,0.1158,1,0.6808327833443476,High
100036,D,education,CA,16874.0,0.1129,0,0.7003057345499141,High
100037,E,home_improvement,GA,19061.0,0.152,1,0.7339156758270335,High
100038,D,home_improvement,TX,1000.0,0.1203,0,0.3848414333093367,Medium
100039,C,small_business,IL,14470.0,0.1017,1,0.49103428098808194,Medium
100040,F,home_improvement,FL,21044.0,0.1856,1,0.8244854216462698,High
100041,D,home_improvement,IL,22188.0,0.1569,0,0.7501469722981104,High
100042,A,debt_consolidation,FL,26661.0,0.0903,1,0.4282624879001739,Medium
100043,A,education,CA,16108.0,0.0892,1,0.5425128264368262,Medium
100044,B,medical,WA,16509.0,0.0914,0,0.3643514249056342,Medium
100045,A,small_business,NC,6011.0,0.0696,0,0.08832554205040023,Low
100046,C,small_business,IL,16159.0,0.0814,1,0.4368984626975025,Medium
100047,B,medical,CA,6646.0,0.05,0,0.17836711511834566,Low
100048,F,home_improvement,CA,1369.0,0.1546,0,0.332266649107893,Medium
100049,C,home_improvement,NY,8233.0,0.0983,0,0.34847509937961896,Medium
100050,B,medical,NY,31578.0,0.0893,0,0.4883867637432543,Medium
100051,F,debt_consolidation,CA,15565.0,0.1674,0,0.6683576495969344,High
100052,C,medical,NC,19979.0,0.0972,1,0.7599090987360955,High
100053,A,debt_consolidation,WA,13379.0,0.0633,0,0.2723695026806772,Low
100054,A,home_improvement,GA,1885.0,0.0689,0,0.0653747818269052,Low
100055,D,small_business,NC,26425.0,0.1405,1,0.5487960331033144,Medium
100056,C,debt_consolidation,GA,1000.0,0.065,0,0.12293489618268298,Low
100057,C,debt_consolidation,TX,13007.0,0.0968,1,0.3239190159587644,Medium
100058,E,home_improvement,CA,17508.0,0.1127,0,0.5189149838406651,Medium
100059,D,small_business,WA,20074.0,0.0957,0,0.4211496995342708,Medium
100060,E,education,NC,11462.0,0.1379,0,0.6530743493543386,High
100061,D,debt_consolidation,WA,1458.0,0.0741,0,0.08907828622316152,Low
100062,D,home_improvement,GA,10790.0,0.2042,1,0.8977634221938541,High
100063,B,debt_consolidation,IL,11261.0,0.05,0,0.12948389016793838,Low
100064,C,debt_consolidation,FL,11042.0,0.1258,1,0.6856097811797041,High
100065,C,education,TX,26731.0,0.0775,0,0.48345960634859036,Medium
100066,C,medical,WA,7078.0,0.075,0,0.28663238055598506,Low
100067,C,small_business,NY,20709.0,0.0615,0,0.32981948370595543,Medium
100068,C,small_business,NY,19425.0,0.1289,0,0.5941837431380196,Medium
100069,C,medical,NC,26644.0,0.1631,1,0.8944398808635053,High
100070,C,small_business,WA,16802.0,0.1012,1,0.701232242687284,High
100071,C,home_improvement,FL,25120.0,0.0869,1,0.5377498446844345,Medium
100072,E,medical,GA,16450.0,0.2051,1,0.8703152566367958,High
100073,C,home_improvement,WA,21910.0,0.0902,0,0.36870402646806943,Medium
100074,D,medical,FL,4474.0,0.1371,1,0.676710213670565,High
100075,C,home_improvement,NC,1000.0,0.0678,0,0.0986931128268823,Low
100076,C,small_business,CA,21398.0,0.1061,0,0.37190609315826484,Medium
100077,D,education,FL,21881.0,0.05,1,0.415611989148903,Medium
100078,E,education,FL,22280.0,0.1625,1,0.9496199288178405,High
100079,D,education,CA,13276.0,0.1314,0,0.5320668684167184,Medium
100080,E,small_business,WA,31408.0,0.1546,0,0.6001032994949068,High
100081,C,small_business,CA,13861.0,0.1301,0,0.6779513226576688,High
100082,E,small_business,WA,21788.0,0.1582,1,0.6855322418720826,High
100083,E,education,GA,23352.0,0.1286,0,0.4807809921277397,Medium
100084,D,debt_consolidation,FL,33469.0,0.1003,0,0.6658583785701765,High
100085,D,debt_consolidation,TX,15147.0,0.1272,0,0.6142531018645956,High
100086,D,medical,NC,12121.0,0.1529,0,0.7895949008519543,High
100087,C,small_business,WA,4517.0,0.1117,0,0.37014981893271975,Medium
100088,C,education,CA,31971.0,0.1012,1,0.6433708535079816,High
100089,C,debt_consolidation,WA,21793.0,0.0712,1,0.3453593810549262,Medium
100090,D,debt_consolidation,TX,22078.0,0.1424,1,0.7814194211230064,High
100091,B,education,IL,46050.0,0.1146,1,0.8882838054534995,High
100092,D,home_improvement,NY,20925.0,0.1198,1,0.7930461234803857,High
100093,C,debt_consolidation,WA,6279.0,0.0996,0,0.2965530789553899,Low
100094,B,small_business,GA,16237.0,0.05,0,0.15418555173270576,Low
100095,B,education,GA,9227.0,0.0583,0,0.34041237433796406,Medium
100096,B,education,GA,14437.0,0.0909,0,0.29678311728885454,Low
100097,D,education,WA,14377.0,0.1002,0,0.4302796311013124,Medium
100098,C,debt_consolidation,GA,12717.0,0.1317,0,0.5780429966366175,Medium
100099,A,debt_consolidation,NC,5460.0,0.0794,0,0.2539687610176337,Low
100100,B,education,NC,32333.0,0.0845,0,0.4138943191825998,Medium
100101,C,small_business,GA,20690.0,0.1305,1,0.7756299549763668,High
100102,B,home_improvement,FL,15971.0,0.0808,1,0.4793702035918474,Medium
100103,B,home_improvement,NY,24819.0,0.05,1,0.519975952955532,Medium
100104,D,education,NY,22240.0,0.1366,0,0.4697714670394935,Medium
100105,D,education,IL,20481.0,0.0993,1,0.8385397068815987,High
100106,F,education,IL,24165.0,0.1424,1,0.5681552237404036,Medium
100107,A,medical,FL,19205.0,0.1121,0,0.5176432379172773,Medium
100108,B,small_business,FL,24032.0,0.05,1,0.5942886474464062,Medium
100109,A,debt_consolidation,WA,24778.0,0.095,1,0.49506863449325234,Medium
100110,C,education,IL,19464.0,0.05,0,0.22726525526773175,Low
100111,A,home_improvement,CA,16016.0,0.05,0,0.472185534150576,Medium
100112,B,education,TX,31774.0,0.1528,1,0.7520243978210414,High
100113,C,debt_consolidation,NY,13699.0,0.0765,0,0.24788863322100682,Low
100114,B,education,FL,21522.0,0.0801,0,0.37647986761616437,Medium
100115,C,medical,WA,21725.0,0.0988,1,0.587651072095086,Medium
100116,D,medical,FL,12514.0,0.1185,1,0.5637807800817978,Medium
100117,D,small_business,FL,10730.0,0.1387,0,0.5153518763802335,Medium
100118,C,medical,CA,14815.0,0.0929,1,0.26015622796818566,Low
100119,B,education,CA,13570.0,0.0991,0,0.4617756531654358,Medium
100120,C,debt_consolidation,NC,4877.0,0.1205,0,0.2937820545146824,Low
100121,A,small_business,GA,12137.0,0.05,0,0.13555682727894305,Low
100122,A,home_improvement,CA,20396.0,0.0688,0,0.24472299366127284,Low
100123,C,debt_consolidation,FL,29393.0,0.1094,1,0.9744623216251692,High
100124,B,small_business,NC,22990.0,0.0689,0,0.3198185890145511,Medium
100125,A,small_business,WA,1000.0,0.0665,0,0.20109396722654682,Low
100126,D,debt_consolidation,CA,23772.0,0.1347,0,0.6942854703757357,High
100127,D,small_business,FL,12977.0,0.1539,0,0.6007197153174654,High
100128,B,education,GA,22078.0,0.05,0,0.21842874146462743,Low
100129,C,small_business,NY,17873.0,0.0848,0,0.3582709544131901,Medium
100130,F,home_improvement,IL,16266.0,0.1705,1,0.7031464919140803,High
100131,B,debt_consolidation,NY,17080.0,0.0821,0,0.34495443817772087,Medium
100132,D,debt_consolidation,TX,17798.0,0.1372,1,0.8638024995048778,High
100133,B,small_business,GA,30100.0,0.05,0,0.1233194694251264,Low
100134,E,home_improvement,TX,17823.0,0.1779,1,0.7297385473048158,High
100135,A,home_improvement,IL,27770.0,0.0862,0,0.7107925555804144,High
100136,B,debt_consolidation,NY,26459.0,0.0645,0,0.24234021230549127,Low
100137,F,medical,IL,24003.0,0.1495,0,0.730344283781015,High
100138,D,debt_consolidation,GA,1920.0,0.1492,0,0.3628442157341501,Medium
100139,B,medical,IL,28050.0,0.0547,0,0.34739777243406395,Medium
100140,D,medical,TX,13879.0,0.0895,1,0.40693519032605674,Medium
100141,E,education,NY,24442.0,0.1125,1,0.49676973836367727,Medium
100142,C,home_improvement,TX,9247.0,0.0897,0,0.28908867654523424,Low
100143,B,home_improvement,WA,7334.0,0.0762,1,0.2257546029473111,Low
100144,B,education,WA,35787.0,0.05,0,0.12706323661579375,Low
100145,E,education,TX,9387.0,0.1917,1,0.8248823792295619,High
100146,B,medical,IL,28315.0,0.0721,0,0.36532211791329045,Medium
100147,B,home_improvement,FL,19066.0,0.0906,0,0.4163436759982962,Medium
100148,B,small_business,FL,14219.0,0.0699,1,0.25142985246343663,Low
100149,A,small_business,GA,17597.0,0.0663,1,0.5619059896785078,Medium
100150,C,small_business,CA,6290.0,0.1151,1,0.5903710990423467,Medium
100151,C,small_business,WA,17876.0,0.079,1,0.4032156150678347,Medium
100152,A,debt_consolidation,IL,8255.0,0.0653,0,0.18731357885146627,Low
100153,B,home_improvement,NY,14441.0,0.05,0,0.5214123846486955,Medium
100154,A,debt_consolidation,TX,26328.0,0.0565,0,0.1858404012355638,Low
100155,A,home_improvement,TX,20288.0,0.0553,1,0.26404066365486545,Low
100156,B,education,IL,4660.0,0.059,0,0.10984587872618344,Low
100157,D,home_improvement,WA,25663.0,0.068,0,0.3315623933840883,Medium
100158,A,small_business,NY,17936.0,0.0814,1,0.38335258693239477,Medium
100159,B,medical,FL,13120.0,0.0895,1,0.3581808425440494,Medium
100160,C,debt_consolidation,NC,24720.0,0.1637,1,0.8573045380092861,High
100161,D,home_improvement,WA,16495.0,0.0837,0,0.6076996251505029,High
100162,D,small_business,IL,7509.0,0.1045,0,0.3439923867977219,Medium
100163,F,small_business,CA,34630.0,0.2093,1,0.8935212255957099,High
100164,B,home_improvement,IL,17844.0,0.053,0,0.44793194729204755,Medium
100165,A,education,FL,17268.0,0.1052,1,0.7692164155121285,High
100166,A,debt_consolidation,GA,14354.0,0.0664,0,0.38168602952181685,Medium
100167,A,medical,TX,28620.0,0.1036,1,0.5081840608293444,Medium
100168,F,home_improvement,NC,13276.0,0.1532,0,0.6775630405804551,High
100169,C,education,NC,4095.0,0.1407,0,0.613373843361878,High
100170,D,small_business,GA,11892.0,0.0918,0,0.43900048308383965,Medium
100171,F,debt_consolidation,IL,29941.0,0.1494,1,0.6487181054412373,High
100172,E,home_improvement,IL,25489.0,0.1291,0,0.47736444787103777,Medium
100173,C,small_business,NC,15705.0,0.0896,1,0.44856473995521845,Medium
100174,E,medical,GA,30359.0,0.1148,1,0.4285596631878613,Medium
100175,C,medical,GA,24731.0,0.1392,1,0.7585608182214376,High
100176,A,debt_consolidation,TX,15601.0,0.05,1,0.18930146875464224,Low
100177,C,medical,FL,16507.0,0.1201,1,0.516936669964072,Medium
100178,E,debt_consolidation,GA,20964.0,0.1425,1,0.6248064938971661,High
100179,D,home_improvement,CA,10513.0,0.0919,1,0.534125963254185,Medium
100180,C,home_improvement,WA,18041.0,0.0874,0,0.5304400375719891,Medium
100181,E,small_business,NY,20777.0,0.1394,0,0.4237408768758831,Medium
100182,C,medical,IL,2817.0,0.1175,1,0.35788366745248334,Medium
100183,D,medical,NC,16296.0,0.07,1,0.3879674672655774,Medium
100184,B,education,GA,15272.0,0.05,0,0.10997652099452601,Low
100185,B,home_improvement,NY,27253.0,0.0712,1,0.29184523794979994,Low
100186,B,small_business,WA,1400.0,0.0853,0,0.09269296648418959,Low
100187,E,education,CA,14566.0,0.1458,1,0.49540844221463476,Medium
100188,F,debt_consolidation,WA,13664.0,0.1891,0,0.7917923754322566,High
100189,B,small_business,TX,26641.0,0.055,0,0.30220424767241905,Medium
100190,B,debt_consolidation,NC,17608.0,0.0707,0,0.29835144522875534,Low
100191,A,small_business,NY,34165.0,0.0994,1,0.7058715534359686,High
100192,D,home_improvement,WA,23960.0,0.1139,0,0.604192454154633,High
100193,C,home_improvement,WA,14308.0,0.0892,0,0.3843611424167127,Medium
100194,C,education,NY,20157.0,0.0917,0,0.33454575723304336,Medium
100195,A,debt_consolidation,GA,14813.0,0.0765,0,0.370464209114139,Medium
100196,A,medical,TX,25735.0,0.095,1,0.48501206607008895,Medium
100197,E,small_business,NC,6010.0,0.1203,0,0.3953265860157015,Medium
100198,C,education,IL,10587.0,0.0777,1,0.3415077188214686,Medium
100199,B,home_improvement,FL,22101.0,0.0645,0,0.17515976700753377,Low
100200,B,home_improvement,TX,29032.0,0.0787,1,0.5913140478129865,Medium
100201,B,medical,CA,1000.0,0.0746,0,0.11841178837374251,Low
100202,A,medical,WA,30370.0,0.05,1,0.45487139534608184,Medium
100203,A,debt_consolidation,WA,16739.0,0.1215,0,0.5044063369354973,Medium
100204,D,medical,GA,1045.0,0.0582,0,0.13720487837285877,Low
100205,B,debt_consolidation,NC,1000.0,0.0873,0,0.07266105632637809,Low
100206,C,small_business,NY,4236.0,0.05,0,0.23282466848054711,Low
100207,C,small_business,IL,17823.0,0.119,1,0.5704747396362728,Medium
100208,B,medical,NC,17407.0,0.1101,0,0.6262112650277127,High
100209,C,home_improvement,IL,23699.0,0.0983,0,0.43225022539246205,Medium
100210,E,home_improvement,WA,13055.0,0.134,0,0.6174829962633622,High
100211,B,small_business,WA,8028.0,0.0801,1,0.2528055352421719,Low
100212,D,medical,NC,14282.0,0.103,1,0.6088249088531342,High
100213,B,education,NY,18302.0,0.0894,1,0.6035756245542432,High
100214,B,education,TX,20077.0,0.1121,0,0.6551381701138899,High
100215,A,medical,NC,10898.0,0.0626,0,0.23540886422233237,Low
100216,D,home_improvement,FL,26113.0,0.1563,1,0.8576119644289795,High
100217,C,education,TX,12407.0,0.1285,1,0.6828724609022723,High
100218,D,small_business,WA,10173.0,0.113,1,0.49614584366557357,Medium
100219,B,debt_consolidation,GA,13118.0,0.0623,1,0.2235589155387848,Low
100220,C,education,GA,27674.0,0.0804,1,0.27160459632789763,Low
100221,A,home_improvement,NY,16805.0,0.0581,0,0.3802479214988286,Medium
100222,B,medical,NC,11749.0,0.05,1,0.12624713792586015,Low
100223,C,debt_consolidation,CA,26335.0,0.0819,0,0.4545265432789483,Medium
100224,A,medical,NC,37285.0,0.0841,0,0.5928331310974928,Medium
100225,C,small_business,TX,19887.0,0.05,0,0.17491482352545282,Low
100226,C,debt_consolidation,TX,29105.0,0.112,0,0.7986045481721491,High
100227,D,home_improvement,NY,27325.0,0.1359,0,0.6722181830087297,High
100228,D,small_business,FL,12549.0,0.1176,1,0.48080969630974996,Medium
100229,B,education,CA,18240.0,0.0676,0,0.17368011795086208,Low
100230,A,education,WA,6457.0,0.0736,0,0.16606674680991684,Low
100231,C,small_business,TX,16156.0,0.0587,0,0.32645196467787735,Medium
100232,B,education,TX,12364.0,0.0627,1,0.28016657703901743,Low
100233,B,debt_consolidation,CA,14374.0,0.05,0,0.4539446661152215,Medium
100234,B,home_improvement,NC,11251.0,0.0649,1,0.41604897998457363,Medium
100235,C,medical,CA,15416.0,0.0837,0,0.30583951229256395,Medium
100236,C,education,WA,22790.0,0.0961,1,0.5274268675511413,Medium
100237,A,small_business,WA,16925.0,0.0613,0,0.23857875944948925,Low
100238,B,home_improvement,GA,1221.0,0.0989,0,0.19123841267059621,Low
100239,B,debt_consolidation,FL,11285.0,0.0851,0,0.5524858001276355,Medium
100240,B,small_business,NC,4325.0,0.05,0,0.04522493623574653,Low
100241,D,home_improvement,FL,20197.0,0.1648,1,0.94946268861734,High
100242,B,home_improvement,TX,22530.0,0.0576,0,0.2616154503370778,Low
100243,B,home_improvement,NC,20309.0,0.0913,0,0.21166050089469968,Low
100244,E,home_improvement,FL,10913.0,0.1457,1,0.8423557796947311,High
100245,C,home_improvement,CA,20222.0,0.1473,1,0.7242882506694162,High
100246,B,small_business,WA,13769.0,0.05,1,0.2262321215365516,Low
100247,D,debt_consolidation,NY,7756.0,0.1144,1,0.4834337933398757,Medium
100248,D,medical,GA,24677.0,0.1565,1,0.7898289035765632,High
100249,E,education,TX,25362.0,0.1492,0,0.6628963665407847,High
100250,E,education,WA,26540.0,0.1198,1,0.4139854428940635,Medium
100251,D,education,GA,12525.0,0.0988,1,0.43509903864399774,Medium
100252,B,home_improvement,CA,28614.0,0.07,0,0.388931052533958,Medium
100253,C,debt_consolidation,IL,13558.0,0.1124,1,0.6154800173069612,High
100254,A,education,WA,23882.0,0.0878,1,0.5486849382269466,Medium
100255,C,medical,NC,13402.0,0.0719,0,0.32713613477540177,Medium
100256,E,medical,NY,15984.0,0.186,1,0.8247871707567636,High
100257,A,medical,FL,1000.0,0.0655,0,0.06619779457480099,Low
100258,E,debt_consolidation,FL,15283.0,0.0869,0,0.3111662160663729,Medium
100259,C,small_business,NY,18820.0,0.0904,1,0.2889567001859198,Low
100260,B,home_improvement,NC,14310.0,0.0819,0,0.31870097795992586,Medium
100261,E,home_improvement,WA,33806.0,0.1764,1,0.8543449670238168,High
100262,C,small_business,TX,7538.0,0.1152,1,0.7408445942792633,High
100263,C,small_business,GA,12928.0,0.0851,0,0.40067022216541015,Medium
100264,C,education,CA,9856.0,0.134,1,0.6839868575261792,High
100265,B,small_business,NC,12926.0,0.05,0,0.2724801436125616,Low
100266,A,debt_consolidation,FL,27283.0,0.0661,1,0.2967400565158684,Low
100267,D,medical,WA,31302.0,0.05,0,0.3390982209777643,Medium
100268,E,medical,GA,11693.0,0.1523,1,0.629709276474433,High
100269,D,home_improvement,GA,11493.0,0.1167,0,0.43644140660992203,Medium
100270,E,medical,TX,7586.0,0.1845,1,0.7056427329695522,High
100271,E,medical,FL,29757.0,0.1143,1,0.49521753550197023,Medium
100272,A,small_business,CA,28089.0,0.0569,0,0.30596973899473845,Medium
100273,D,education,WA,17046.0,0.138,0,0.6483887373740886,High
100274,D,small_business,FL,5435.0,0.16,1,0.6446723237796,High
100275,B,education,NC,6240.0,0.05,0,0.11284600027042647,Low
100276,C,education,WA,19536.0,0.0681,0,0.2159777062286284,Low
100277,D,small_business,FL,22944.0,0.1443,1,0.9270406332348542,High
100278,F,home_improvement,TX,1000.0,0.1729,1,0.4874651406661402,Medium
100279,F,medical,NY,15108.0,0.1322,1,0.45997933333292385,Medium
100280,C,debt_consolidation,GA,32565.0,0.0809,0,0.4648505146294388,Medium
100281,D,education,TX,16042.0,0.1171,0,0.5961312025812314,Medium
100282,C,debt_consolidation,GA,31407.0,0.0736,0,0.43523300770036544,Medium
100283,E,home_improvement,IL,23841.0,0.1647,0,0.7852724073388061,High
100284,D,education,IL,8241.0,0.1243,0,0.6949032746941545,High
100285,E,debt_consolidation,FL,15366.0,0.1554,1,0.6805485759444204,High
100286,F,medical,CA,16842.0,0.1316,0,0.7649635977353326,High
100287,B,medical,TX,9427.0,0.0523,0,0.17818955256212377,Low
100288,F,home_improvement,IL,9271.0,0.1477,1,0.6883087200214895,High
100289,D,home_improvement,FL,31561.0,0.1136,1,0.5838750960056982,Medium
100290,B,small_business,TX,9204.0,0.05,1,0.24759406933147626,Low
100291,A,small_business,GA,27706.0,0.0885,1,0.5282597067356672,Medium
100292,D,medical,FL,14072.0,0.081,0,0.3195462575431521,Medium
100293,B,medical,FL,17769.0,0.0545,0,0.317321497401568,Medium
100294,B,home_improvement,GA,23057.0,0.05,0,0.1415467784618276,Low
100295,C,small_business,TX,12613.0,0.085,1,0.49533576783230526,Medium
100296,A,debt_consolidation,CA,23111.0,0.0743,0,0.29769664094663384,Low
100297,C,debt_consolidation,NY,1000.0,0.0508,0,0.07809367688283375,Low
100298,D,small_business,CA,21957.0,0.0881,1,0.8387084501330335,High
100299,A,debt_consolidation,NY,1000.0,0.0633,0,0.10587728686208323,Low
100300,C,small_business,TX,15958.0,0.1188,1,0.5109434577011729,Medium
100301,B,debt_consolidation,WA,25688.0,0.0564,0,0.22297809528927795,Low
100302,E,home_improvement,CA,23601.0,0.1925,1,0.8735830313490166,High
100303,C,education,TX,6314.0,0.1358,1,0.7001177401226129,High
100304,D,home_improvement,NY,7473.0,0.1288,1,0.351536517548389,Medium
100305,D,education,IL,11802.0,0.1174,1,0.6545521292514871,High
100306,E,home_improvement,FL,19676.0,0.1929,0,0.8555557641551439,High
100307,C,small_business,GA,1000.0,0.114,0,0.16599963869082265,Low
100308,C,small_business,GA,17881.0,0.1003,0,0.4847161716900064,Medium
100309,A,small_business,FL,20803.0,0.0727,1,0.3563565309871642,Medium
100310,C,home_improvement,CA,15453.0,0.0806,0,0.43828101928736574,Medium
100311,C,small_business,NC,22728.0,0.0894,0,0.3866311303095811,Medium
100312,C,home_improvement,NY,20014.0,0.05,0,0.2046165663333827,Low
100313,B,education,IL,13125.0,0.1318,1,0.6011201223306718,High
100314,C,home_improvement,NC,1000.0,0.129,0,0.3732112845202811,Medium
100315,C,education,WA,19201.0,0.0926,0,0.470963454541065,Medium
100316,C,education,IL,9422.0,0.0614,0,0.2690227376797809,Low
100317,D,small_business,NY,12795.0,0.1287,1,0.6806344299539715,High
100318,C,medical,GA,22312.0,0.0995,0,0.3865520527205008,Medium
100319,C,medical,TX,30756.0,0.1223,0,0.8227527762257824,High
100320,C,home_improvement,FL,17657.0,0.1041,0,0.7007544516148312,High
100321,D,home_improvement,NY,22987.0,0.1237,1,0.835078308555027,High
100322,D,medical,CA,5000.0,0.1212,1,0.3500047910655116,Medium
100323,B,medical,NY,20210.0,0.1255,1,0.5393543348617148,Medium
100324,B,small_business,TX,17461.0,0.1053,1,0.5350580685005233,Medium
100325,D,education,CA,29063.0,0.1843,1,0.8296577246807953,High
100326,D,education,GA,13136.0,0.1156,0,0.5132629844074864,Medium
100327,A,small_business,WA,15825.0,0.0657,0,0.2651443532766302,Low
100328,C,education,GA,27529.0,0.1086,0,0.5352902026516803,Medium
100329,B,education,CA,17172.0,0.0991,1,0.5661431978461513,Medium
100330,D,medical,FL,8020.0,0.1046,0,0.1852502865063045,Low
100331,B,medical,WA,40965.0,0.0632,1,0.23451397489704795,Low
100332,D,medical,FL,8293.0,0.125,1,0.4895614497301773,Medium
100333,D,debt_consolidation,CA,17418.0,0.1146,0,0.5406157179325461,Medium
100334,E,home_improvement,FL,21120.0,0.1595,1,0.7443848171050554,High
100335,F,home_improvement,CA,20409.0,0.1787,1,0.7329791257093983,High
100336,C,small_business,CA,16292.0,0.0753,0,0.28469454173629866,Low
100337,D,home_improvement,WA,16337.0,0.1087,1,0.49186645092290376,Medium
100338,D,small_business,CA,15886.0,0.1075,1,0.5279876931909472,Medium
100339,E,home_improvement,NY,7957.0,0.1572,1,0.5729693490150898,Medium
100340,C,home_improvement,NC,37352.0,0.1385,1,0.8750123703898494,High
100341,A,debt_consolidation,NC,16020.0,0.0558,0,0.2597918183914213,Low
100342,F,medical,CA,23372.0,0.1927,0,0.7239418662569468,High
100343,A,debt_consolidation,FL,14988.0,0.0524,0,0.19907062778257556,Low
100344,F,home_improvement,NY,14807.0,0.1205,1,0.30604983967889415,Medium
100345,B,medical,IL,13901.0,0.0828,1,0.3613050661534919,Medium
100346,C,small_business,WA,4051.0,0.05,0,0.07453702626137118,Low
100347,F,medical,CA,16554.0,0.1814,1,0.8663599224843416,High
100348,D,home_improvement,FL,14337.0,0.1496,0,0.595321604436331,Medium
100349,C,education,NY,28544.0,0.1266,1,0.47956331571233574,Medium
100350,B,home_improvement,NC,7230.0,0.05,0,0.11590660296164033,Low
100351,B,home_improvement,NY,12806.0,0.0873,0,0.2403235388245799,Low
100352,A,debt_consolidation,CA,9914.0,0.0745,0,0.2938675412223928,Low
100353,C,home_improvement,IL,30983.0,0.1065,1,0.5703846984016654,Medium
100354,C,home_improvement,GA,10175.0,0.0737,1,0.33956880256723965,Medium
100355,B,home_improvement,GA,23061.0,0.0992,1,0.47834924652005845,Medium
100356,C,debt_consolidation,TX,26731.0,0.0653,1,0.37940945538258636,Medium
100357,E,debt_consolidation,WA,16685.0,0.0852,0,0.3602921887090537,Medium
100358,E,small_business,TX,5609.0,0.1519,0,0.6583213286359505,High
100359,C,medical,TX,5723.0,0.0972,0,0.3892658359812594,Medium
100360,F,small_business,IL,25738.0,0.194,1,0.8727589738711284,High
100361,C,medical,GA,6655.0,0.0925,0,0.2720133061805334,Low
100362,B,medical,GA,21528.0,0.0728,0,0.7148280417937591,High
100363,C,medical,IL,19029.0,0.1214,0,0.6994610256553027,High
100364,E,home_improvement,FL,21394.0,0.2061,1,0.9267571850429482,High
100365,B,home_improvement,IL,22244.0,0.081,0,0.4572875910474948,Medium
100366,B,education,NY,9597.0,0.0851,1,0.36138894769703145,Medium
100367,F,medical,TX,9220.0,0.2263,1,0.9293260300186638,High
100368,D,education,FL,24434.0,0.1677,1,0.8792368805634176,High
100369,D,small_business,TX,12336.0,0.0542,0,0.3450274146909752,Medium
100370,D,small_business,CA,1000.0,0.1157,0,0.20288073382787108,Low
100371,D,education,WA,23839.0,0.1035,1,0.7724162323209728,High
100372,A,small_business,GA,8674.0,0.05,0,0.04130292514768229,Low
100373,D,education,WA,22204.0,0.0969,0,0.5644371716779444,Medium
100374,B,small_business,NC,30535.0,0.05,0,0.15752839529093157,Low
100375,B,small_business,FL,18151.0,0.0956,1,0.7234775312419693,High
100376,F,small_business,WA,26962.0,0.1824,1,0.8489093480019568,High
100377,A,education,TX,19384.0,0.0728,1,0.3917746395657917,Medium
100378,A,home_improvement,FL,32287.0,0.0556,1,0.4839141520785472,Medium
100379,B,education,CA,8441.0,0.054,0,0.19227221244349266,Low
100380,E,medical,IL,17926.0,0.1826,1,0.7775469391288687,High
100381,F,debt_consolidation,FL,24058.0,0.1296,1,0.588614051927416,Medium
