loan_id,issue_date,age,annual_income,loan_amount,term_months,employment_length_years,credit_score,grade,purpose,state,home_ownership,inquiries_last_6m,delinquencies_last_2y,revolving_utilization,dti_ratio,interest_rate,default_flag
100030,2023-07-21,41,76094.0,23720.0,36,4.0,622.0,A,education,TX,RENT,0,0,0.7443,0.9,0.1044,1
100031,2022-09-10,41,18000.0,8793.0,36,7.0,761.0,D,home_improvement,FL,MORTGAGE,1,0,0.4465,0.9,0.102,1
100032,2023-09-01,31,81351.0,19628.0,36,6.0,690.0,C,home_improvement,GA,MORTGAGE,1,0,0.558,0.9,0.102,1
100033,2023-07-23,25,97864.0,1000.0,36,5.0,600.0,B,debt_consolidation,WA,RENT,3,1,0.694,0.1409,0.1195,1
100034,2023-10-03,46,66598.0,12835.0,36,12.0,691.0,C,small_business,NY,MORTGAGE,1,0,0.4988,0.9,0.1024,1
100035,2023-04-01,61,129496.0,26649.0,36,7.0,630.0,C,small_business,IL,MORTGAGE,0,0,0.8689,0.9,0.1158,1
100036,2023-01-04,23,48563.0,16874.0,36,5.0,664.0,D,education,CA,RENT,3,0,0.7297,0.9,0.1129,0
100037,2023-05-11,60,81523.0,19061.0,36,7.0,690.0,E,home_improvement,GA,RENT,1,0,0.99,0.9,0.152,1
100038,2023-03-05,59,73925.0,1000.0,36,14.0,636.0,D,home_improvement,TX,MORTGAGE,1,1,0.5188,0.2067,0.1203,0
100039,2023-10-30,33,71991.0,14470.0,36,15.0,661.0,C,small_business,IL,RENT,1,1,0.01,0.9,0.1017,1
100040,2022-08-21,50,71570.0,21044.0,36,3.0,645.0,F,home_improvement,FL,OWN,1,1,0.4944,0.9,0.1856,1
100041,2022-03-17,28,78213.0,22188.0,60,0.0,647.0,D,home_improvement,IL,RENT,3,0,0.4041,0.9,0.1569,0
100042,2023-11-28,55,100439.0,26661.0,36,0.0,630.0,A,debt_consolidation,FL,MORTGAGE,3,0,0.5145,0.9,0.0903,1
100043,2023-08-28,53,116332.0,16108.0,60,7.0,661.0,A,education,CA,MORTGAGE,0,1,0.8366,0.9,0.0892,1
100044,2023-04-07,37,74932.0,16509.0,36,10.0,636.0,B,medical,WA,MORTGAGE,1,0,0.3716,0.9,0.0914,0
100045,2022-04-20,24,99459.0,6011.0,36,0.0,725.0,A,small_business,NC,RENT,3,0,0.3137,0.5317,0.0696,0
100046,2022-07-06,65,53947.0,16159.0,36,8.0,702.0,C,small_business,IL,MORTGAGE,0,0,0.3506,0.9,0.0814,1
100047,2022-08-22,41,97979.0,6646.0,36,6.0,762.0,B,medical,CA,OWN,2,0,0.9108,0.8324,0.05,0
100048,2023-10-14,62,52140.0,1369.0,60,14.0,803.0,F,home_improvement,CA,RENT,0,1,0.3878,0.3662,0.1546,0
100049,2022-09-21,52,107720.0,8233.0,60,9.0,731.0,C,home_improvement,NY,RENT,1,0,0.5319,0.7465,0.0983,0
100050,2023-04-11,56,141319.0,31578.0,60,6.0,717.0,B,medical,NY,RENT,1,1,0.8493,0.9,0.0893,0
100051,2023-11-16,55,71337.0,15565.0,36,9.0,734.0,F,debt_consolidation,CA,RENT,0,0,0.6127,0.9,0.1674,0
100052,2023-05-15,29,18000.0,19979.0,36,2.0,718.0,C,medical,NC,RENT,2,0,0.0291,0.9,0.0972,1
100053,2023-02-14,37,58558.0,13379.0,36,7.0,693.0,A,debt_consolidation,WA,MORTGAGE,1,1,0.3834,0.9,0.0633,0
100054,2022-04-03,42,111956.0,1885.0,36,5.0,688.0,A,home_improvement,GA,OWN,1,0,0.3494,0.2317,0.0689,0
100055,2022-07-14,43,91592.0,26425.0,36,2.0,629.0,D,small_business,NC,OWN,1,0,0.1315,0.9,0.1405,1
100056,2022-01-16,23,82467.0,1000.0,36,6.0,740.0,C,debt_consolidation,GA,RENT,2,1,0.3847,0.3268,0.065,0
100057,2022-04-30,46,105260.0,13007.0,36,10.0,688.0,C,debt_consolidation,TX,MORTGAGE,2,0,0.01,0.9,0.0968,1
100058,2023-03-05,28,89534.0,17508.0,60,9.0,777.0,E,home_improvement,CA,RENT,2,0,0.545,0.9,0.1127,0
100059,2023-05-08,55,111532.0,20074.0,36,15.0,745.0,D,small_business,WA,RENT,1,0,0.4815,0.9,0.0957,0
100060,2022-05-03,52,102583.0,11462.0,36,4.0,652.0,E,education,NC,MORTGAGE,3,1,0.3384,0.9,0.1379,0
100061,2022-08-30,63,120651.0,1458.0,36,11.0,765.0,D,debt_consolidation,WA,RENT,0,1,0.1181,0.0809,0.0741,0
100062,2023-05-18,55,85764.0,10790.0,60,8.0,536.0,D,home_improvement,GA,RENT,0,0,0.7589,0.9,0.2042,1
100063,2022-02-19,37,102158.0,11261.0,36,13.0,806.0,B,debt_consolidation,IL,MORTGAGE,1,1,0.3663,0.9,0.05,0
100064,2023-03-17,65,65786.0,11042.0,36,14.0,610.0,C,debt_consolidation,FL,MORTGAGE,1,0,0.6995,0.9,0.1258,1
100065,2022-12-08,39,56956.0,26731.0,36,11.0,720.0,C,education,TX,OWN,1,0,0.4548,0.9,0.0775,0
100066,2022-08-27,35,126203.0,7078.0,36,6.0,716.0,C,medical,WA,RENT,1,0,0.7719,0.6443,0.075,0
100067,2022-12-07,62,81486.0,20709.0,36,8.0,757.0,C,small_business,NY,MORTGAGE,2,0,0.5969,0.9,0.0615,0
100068,2022-11-15,38,99146.0,19425.0,60,10.0,670.0,C,small_business,NY,RENT,3,0,0.5023,0.9,0.1289,0
100069,2023-10-02,24,78712.0,26644.0,60,12.0,561.0,C,medical,NC,RENT,0,3,0.3121,0.9,0.1631,1
100070,2023-08-29,42,57405.0,16802.0,60,3.0,670.0,C,small_business,WA,MORTGAGE,2,1,0.7398,0.9,0.1012,1
100071,2023-11-16,57,75329.0,25120.0,36,13.0,677.0,C,home_improvement,FL,MORTGAGE,1,0,0.4389,0.9,0.0869,1
100072,2023-05-12,29,118080.0,16450.0,60,12.0,567.0,E,medical,GA,RENT,3,0,,0.9,0.2051,1
100073,2022-12-16,42,91657.0,21910.0,36,1.0,693.0,C,home_improvement,WA,MORTGAGE,1,0,0.4485,0.9,0.0902,0
100074,2022-08-15,26,23656.0,4474.0,36,4.0,625.0,D,medical,FL,RENT,2,1,0.4708,0.9,0.1371,1
100075,2023-03-04,52,68543.0,1000.0,36,3.0,729.0,C,home_improvement,NC,OWN,1,0,0.6548,0.1257,0.0678,0
100076,2023-01-02,42,128469.0,21398.0,36,9.0,675.0,C,small_business,CA,RENT,0,0,0.1036,0.9,0.1061,0
100077,2023-09-18,36,68586.0,21881.0,36,3.0,808.0,D,education,FL,MORTGAGE,1,1,0.9566,0.9,0.05,1
100078,2022-11-28,31,20986.0,22280.0,60,4.0,675.0,E,education,FL,OWN,1,1,0.5727,0.9,0.1625,1
100079,2023-05-19,46,131791.0,13276.0,60,3.0,716.0,D,education,CA,MORTGAGE,0,1,0.4768,0.853,0.1314,0
100080,2022-02-05,51,95472.0,31408.0,36,1.0,677.0,E,small_business,WA,MORTGAGE,0,0,0.5688,0.9,0.1546,0
100081,2022-11-15,64,72900.0,13861.0,36,7.0,593.0,C,small_business,CA,MORTGAGE,3,1,0.1737,0.9,0.1301,0
100082,2022-09-19,41,63857.0,21788.0,36,5.0,678.0,E,small_business,WA,RENT,3,0,0.5048,0.9,0.1582,1
100083,2023-04-15,28,107471.0,23352.0,36,8.0,735.0,E,education,GA,MORTGAGE,3,0,0.6101,0.9,0.1286,0
100084,2022-03-31,59,58740.0,33469.0,36,3.0,726.0,D,debt_consolidation,FL,MORTGAGE,3,1,0.4211,0.9,0.1003,0
100085,2022-04-12,49,,15147.0,36,4.0,672.0,D,debt_consolidation,TX,RENT,1,0,0.5847,0.9,0.1272,0
100086,2022-05-05,53,91266.0,12121.0,36,14.0,603.0,D,medical,NC,RENT,4,0,0.6386,0.9,0.1529,0
100087,2023-02-16,25,82340.0,4517.0,60,12.0,729.0,C,small_business,WA,RENT,1,3,0.3343,0.5287,0.1117,0
100088,2022-09-04,35,79365.0,31971.0,60,4.0,715.0,C,education,CA,RENT,2,0,0.7298,0.9,0.1012,1
100089,2022-03-02,56,69751.0,21793.0,36,,741.0,C,debt_consolidation,WA,OWN,1,0,0.4679,0.9,0.0712,1
100090,2023-12-28,59,106369.0,22078.0,60,15.0,674.0,D,debt_consolidation,TX,OWN,2,0,0.8613,0.9,0.1424,1
100091,2023-04-02,41,49040.0,46050.0,36,10.0,589.0,B,education,IL,MORTGAGE,0,1,0.7419,0.9,0.1146,1
100092,2023-03-11,58,26342.0,20925.0,36,7.0,722.0,D,home_improvement,NY,RENT,3,0,0.5613,0.9,0.1198,1
100093,2023-04-17,59,93433.0,6279.0,36,11.0,689.0,C,debt_consolidation,WA,RENT,2,0,0.3176,0.6637,0.0996,0
100094,2022-08-15,38,93937.0,16237.0,36,3.0,774.0,B,small_business,GA,RENT,0,1,0.4577,0.9,0.05,0
100095,2022-01-24,62,89407.0,9227.0,36,6.0,692.0,B,education,GA,RENT,2,0,0.6816,0.9,0.0583,0
100096,2022-04-30,34,87232.0,14437.0,36,6.0,687.0,B,education,GA,MORTGAGE,2,1,0.3681,0.9,0.0909,0
100097,2023-08-17,32,65384.0,14377.0,36,11.0,715.0,D,education,WA,MORTGAGE,0,0,0.5667,0.9,0.1002,0
100098,2022-10-06,52,98624.0,12717.0,60,2.0,654.0,C,debt_consolidation,GA,MORTGAGE,1,0,0.5893,0.9,0.1317,0
100099,2023-12-17,50,73633.0,5460.0,36,7.0,651.0,A,debt_consolidation,NC,RENT,0,0,0.4575,0.7303,0.0794,0
100100,2022-07-20,27,60387.0,32333.0,36,13.0,684.0,B,education,NC,OWN,2,0,0.3157,0.9,0.0845,0
100101,2022-12-08,59,65643.0,20690.0,60,3.0,635.0,C,small_business,GA,RENT,1,0,0.7995,0.9,0.1305,1
100102,2023-09-30,30,135619.0,15971.0,36,1.0,676.0,B,home_improvement,FL,RENT,5,2,0.575,0.9,0.0808,1
100103,2023-06-17,58,22951.0,24819.0,36,13.0,806.0,B,home_improvement,NY,RENT,0,0,0.4196,0.9,0.05,1
100104,2023-01-20,21,89994.0,22240.0,60,13.0,753.0,D,education,NY,RENT,3,0,0.322,0.9,0.1366,0
100105,2023-03-02,57,24627.0,20481.0,36,6.0,708.0,D,education,IL,MORTGAGE,2,0,0.6597,0.9,0.0993,1
100106,2023-11-14,57,71753.0,24165.0,36,0.0,783.0,F,education,IL,MORTGAGE,2,0,0.4661,0.9,0.1424,1
100107,2022-12-29,56,61991.0,19205.0,36,8.0,641.0,A,medical,FL,MORTGAGE,3,0,0.6755,0.9,0.1121,0
100108,2022-08-26,51,18000.0,24032.0,36,4.0,839.0,B,small_business,FL,RENT,2,0,0.2956,0.9,0.05,1
100109,2023-07-11,42,86671.0,24778.0,60,9.0,662.0,A,debt_consolidation,WA,OWN,3,0,0.5405,0.9,0.095,1
100110,2022-04-04,53,63599.0,19464.0,36,2.0,810.0,C,education,IL,MORTGAGE,2,0,0.384,0.9,0.05,0
100111,2022-01-30,33,18000.0,16016.0,36,12.0,810.0,A,home_improvement,CA,MORTGAGE,1,0,0.8283,0.9,0.05,0
100112,2023-09-15,56,100187.0,31774.0,60,10.0,585.0,B,education,TX,RENT,2,0,0.5536,0.9,0.1528,1
100113,2023-10-23,46,118050.0,13699.0,60,10.0,778.0,C,debt_consolidation,NY,OWN,2,0,0.2808,0.9,0.0765,0
100114,2023-04-12,42,119704.0,21522.0,36,8.0,673.0,B,education,FL,MORTGAGE,3,0,0.667,0.9,0.0801,0
100115,2022-05-25,44,85769.0,21725.0,36,3.0,656.0,C,medical,WA,MORTGAGE,3,0,0.7269,0.9,0.0988,1
100116,2023-05-20,47,76382.0,12514.0,60,15.0,721.0,D,medical,FL,RENT,1,0,0.4126,0.9,0.1185,1
100117,2023-11-24,22,114845.0,10730.0,36,4.0,630.0,D,small_business,FL,RENT,2,0,0.318,0.8134,0.1387,0
100118,2022-04-23,27,125472.0,14815.0,36,5.0,720.0,C,medical,CA,MORTGAGE,1,1,0.0394,0.9,0.0929,1
100119,2022-05-16,32,109007.0,13570.0,36,14.0,634.0,B,education,CA,RENT,1,0,0.7002,0.9,0.0991,0
100120,2022-08-18,26,46754.0,4877.0,60,0.0,701.0,C,debt_consolidation,NC,MORTGAGE,0,1,0.1294,0.7498,0.1205,0
100121,2022-07-25,41,81040.0,12137.0,36,2.0,770.0,A,small_business,GA,MORTGAGE,3,0,0.4703,0.9,0.05,0
100122,2022-02-12,51,88185.0,20396.0,36,12.0,713.0,A,home_improvement,CA,MORTGAGE,4,0,0.135,0.9,0.0688,0
100123,2022-03-04,51,20711.0,29393.0,60,5.0,668.0,C,debt_consolidation,FL,RENT,1,0,0.8402,0.9,0.1094,1
100124,2022-07-19,42,89081.0,22990.0,36,9.0,722.0,B,small_business,NC,OWN,2,0,0.7469,0.9,0.0689,0
100125,2022-07-04,60,143190.0,1000.0,36,9.0,606.0,A,small_business,WA,RENT,2,0,0.54,0.1607,0.0665,0
100126,2023-05-07,47,94198.0,23772.0,36,13.0,640.0,D,debt_consolidation,CA,MORTGAGE,1,0,0.6895,0.9,0.1347,0
100127,2023-07-17,24,119202.0,12977.0,60,9.0,664.0,D,small_business,FL,RENT,2,0,0.4536,0.7862,0.1539,0
100128,2023-08-13,56,80487.0,22078.0,36,6.0,737.0,B,education,GA,RENT,1,0,0.3151,0.9,0.05,0
100129,2023-10-09,47,72803.0,17873.0,36,8.0,714.0,C,small_business,NY,RENT,1,1,0.1447,0.9,0.0848,0
100130,2023-11-15,50,86438.0,16266.0,36,11.0,722.0,F,home_improvement,IL,MORTGAGE,1,0,0.6384,0.9,0.1705,1
100131,2023-07-02,47,50525.0,17080.0,36,6.0,688.0,B,debt_consolidation,NY,MORTGAGE,3,1,0.2781,0.9,0.0821,0
100132,2022-09-10,46,46087.0,17798.0,60,2.0,643.0,D,debt_consolidation,TX,RENT,1,0,0.9853,0.9,0.1372,1
100133,2022-06-19,25,112989.0,30100.0,36,7.0,779.0,B,small_business,GA,RENT,1,0,0.2575,0.9,0.05,0
100134,2022-07-09,46,116170.0,17823.0,36,15.0,648.0,E,home_improvement,TX,MORTGAGE,1,0,0.6824,0.9,0.1779,1
100135,2023-06-08,57,45267.0,27770.0,60,1.0,715.0,A,home_improvement,IL,RENT,3,1,0.7352,0.9,0.0862,0
100136,2023-09-14,34,104040.0,26459.0,36,2.0,683.0,B,debt_consolidation,NY,RENT,3,0,0.212,0.9,0.0645,0
100137,2022-01-30,48,72391.0,24003.0,36,15.0,724.0,F,medical,IL,MORTGAGE,0,1,0.3901,0.9,0.1495,0
100138,2022-09-20,22,85194.0,1920.0,60,13.0,654.0,D,debt_consolidation,GA,RENT,1,0,0.434,0.2925,0.1492,0
100139,2022-12-06,36,88807.0,28050.0,36,1.0,753.0,B,medical,IL,RENT,2,0,0.99,0.9,0.0547,0
100140,2022-10-27,41,104831.0,13879.0,36,3.0,773.0,D,medical,TX,RENT,1,2,0.4309,0.9,0.0895,1
100141,2023-02-07,66,77482.0,24442.0,36,11.0,749.0,E,education,NY,MORTGAGE,2,1,0.2524,0.9,0.1125,1
100142,2022-06-08,30,117305.0,9247.0,36,,699.0,C,home_improvement,TX,MORTGAGE,1,0,0.5783,0.6595,0.0897,0
100143,2022-03-10,33,84282.0,7334.0,36,11.0,664.0,B,home_improvement,WA,RENT,1,0,0.2705,0.7621,0.0762,1
100144,2022-02-08,39,93726.0,35787.0,36,13.0,850.0,B,education,WA,MORTGAGE,1,1,0.4677,0.9,0.05,0
100145,2022-01-03,66,50002.0,9387.0,60,8.0,631.0,E,education,TX,RENT,3,0,0.389,0.9,0.1917,1
100146,2022-05-21,60,139760.0,28315.0,60,14.0,743.0,B,medical,IL,MORTGAGE,1,0,0.5836,0.9,0.0721,0
100147,2023-07-13,22,89095.0,19066.0,60,9.0,710.0,B,home_improvement,FL,RENT,3,1,0.3678,0.9,0.0906,0
100148,2022-05-15,31,96390.0,14219.0,36,7.0,686.0,B,small_business,FL,RENT,2,0,0.3408,0.9,0.0699,1
100149,2022-10-09,58,26754.0,17597.0,36,10.0,701.0,A,small_business,GA,MORTGAGE,2,0,0.6958,0.9,0.0663,1
100150,2023-06-26,23,50319.0,6290.0,60,6.0,659.0,C,small_business,CA,RENT,3,0,0.5378,0.9,0.1151,1
100151,2023-12-31,60,112137.0,17876.0,36,9.0,716.0,C,small_business,WA,OWN,1,1,0.4856,0.9,0.079,1
100152,2023-04-12,33,83607.0,8255.0,60,,709.0,A,debt_consolidation,IL,OWN,2,0,0.095,0.7729,0.0653,0
100153,2022-03-30,63,18000.0,14441.0,60,15.0,850.0,B,home_improvement,NY,RENT,2,1,0.6044,0.9,0.05,0
100154,2022-02-17,34,106149.0,26328.0,36,9.0,754.0,A,debt_consolidation,TX,MORTGAGE,3,0,0.3859,0.9,0.0565,0
100155,2022-04-19,40,58687.0,20288.0,36,0.0,721.0,A,home_improvement,TX,MORTGAGE,1,0,0.5357,0.9,0.0553,1
100156,2022-01-13,51,117340.0,4660.0,36,9.0,725.0,B,education,IL,RENT,3,1,0.1111,0.374,0.059,0
100157,2022-06-01,26,72365.0,25663.0,36,4.0,800.0,D,home_improvement,WA,RENT,2,0,0.5354,0.9,0.068,0
100158,2022-12-12,46,81141.0,17936.0,36,3.0,632.0,A,small_business,NY,OWN,0,1,0.5186,0.9,0.0814,1
100159,2023-09-02,44,110369.0,13120.0,36,14.0,679.0,B,medical,FL,RENT,4,0,0.4341,0.9,0.0895,1
100160,2023-02-19,57,48075.0,24720.0,60,7.0,576.0,C,debt_consolidation,NC,MORTGAGE,2,0,0.3028,0.9,0.1637,1
100161,2023-09-18,66,45215.0,16495.0,36,12.0,724.0,D,home_improvement,WA,MORTGAGE,2,0,0.7132,0.9,0.0837,0
100162,2023-05-06,51,69105.0,7509.0,36,5.0,741.0,D,small_business,IL,RENT,0,0,0.3307,0.9,0.1045,0
100163,2022-03-06,39,99815.0,34630.0,60,9.0,630.0,F,small_business,CA,MORTGAGE,1,0,0.662,0.9,0.2093,1
100164,2022-08-10,39,35074.0,17844.0,60,10.0,776.0,B,home_improvement,IL,OWN,3,0,0.6894,0.9,0.053,0
100165,2022-12-16,40,24959.0,17268.0,60,,647.0,A,education,FL,RENT,3,1,0.3136,0.9,0.1052,1
100166,2023-02-15,58,99712.0,14354.0,36,3.0,669.0,A,debt_consolidation,GA,RENT,1,1,0.6296,0.9,0.0664,0
100167,2023-07-12,35,56911.0,28620.0,60,8.0,697.0,A,medical,TX,RENT,1,0,0.3941,0.9,0.1036,1
100168,2023-03-18,28,63233.0,13276.0,60,6.0,786.0,F,home_improvement,NC,MORTGAGE,3,1,0.6077,0.9,0.1532,0
100169,2023-07-28,36,19296.0,4095.0,60,7.0,639.0,C,education,NC,MORTGAGE,3,0,0.2928,0.9,0.1407,0
100170,2022-01-23,22,54631.0,11892.0,36,13.0,707.0,D,small_business,GA,MORTGAGE,2,0,0.457,0.9,0.0918,0
100171,2022-09-11,25,74773.0,29941.0,36,2.0,736.0,F,debt_consolidation,IL,MORTGAGE,1,0,0.4954,0.9,0.1494,1
100172,2023-12-25,25,102911.0,25489.0,36,8.0,724.0,E,home_improvement,IL,OWN,1,0,0.4741,0.9,0.1291,0
100173,2022-04-13,56,51863.0,15705.0,36,6.0,726.0,C,small_business,NC,RENT,1,0,0.5562,0.9,0.0896,1
100174,2023-11-21,54,124721.0,30359.0,36,14.0,736.0,E,medical,GA,MORTGAGE,0,0,0.3182,0.9,0.1148,1
100175,2022-09-04,53,54463.0,24731.0,60,3.0,657.0,C,medical,GA,RENT,5,0,0.3695,0.9,0.1392,1
100176,2022-10-02,42,54507.0,15601.0,36,3.0,791.0,A,debt_consolidation,TX,RENT,2,0,0.6228,0.9,0.05,1
100177,2022-03-18,53,121121.0,16507.0,60,1.0,683.0,C,medical,FL,RENT,1,0,0.3975,0.9,0.1201,1
100178,2023-03-10,28,81344.0,20964.0,36,7.0,675.0,E,debt_consolidation,GA,RENT,2,0,,0.9,0.1425,1
100179,2022-06-29,62,58439.0,10513.0,60,0.0,771.0,D,home_improvement,CA,MORTGAGE,4,2,0.3116,0.9,0.0919,1
100180,2022-10-05,44,70346.0,18041.0,36,8.0,652.0,C,home_improvement,WA,MORTGAGE,3,0,0.388,0.9,0.0874,0
100181,2023-06-22,64,115592.0,20777.0,36,3.0,709.0,E,small_business,NY,MORTGAGE,1,0,0.2746,0.9,0.1394,0
100182,2023-09-05,28,118986.0,2817.0,36,6.0,647.0,C,medical,IL,RENT,3,1,0.6259,0.2878,0.1175,1
100183,2023-06-14,43,50496.0,16296.0,60,9.0,841.0,D,medical,NC,RENT,1,1,0.3902,0.9,0.07,1
100184,2022-03-08,53,,15272.0,36,10.0,829.0,B,education,GA,OWN,2,1,0.2633,0.9,0.05,0
100185,2023-03-29,43,77705.0,27253.0,36,0.0,683.0,B,home_improvement,NY,MORTGAGE,1,0,0.4394,0.9,0.0712,1
100186,2022-05-08,41,45413.0,1400.0,60,2.0,721.0,B,small_business,WA,MORTGAGE,2,0,0.2007,0.4792,0.0853,0
100187,2023-11-05,28,73329.0,14566.0,36,5.0,690.0,E,education,CA,RENT,0,0,0.3088,0.9,0.1458,1
100188,2023-06-15,38,75160.0,13664.0,36,8.0,669.0,F,debt_consolidation,WA,RENT,2,0,0.7509,0.9,0.1891,0
100189,2023-02-23,31,109206.0,26641.0,36,14.0,697.0,B,small_business,TX,OWN,2,1,0.2624,0.9,0.055,0
100190,2022-06-28,34,111223.0,17608.0,36,2.0,688.0,B,debt_consolidation,NC,RENT,0,1,0.4513,0.9,0.0707,0
100191,2023-12-25,52,65124.0,34165.0,36,1.0,599.0,A,small_business,NY,RENT,2,0,0.9213,0.9,0.0994,1
100192,2023-12-22,49,68581.0,23960.0,36,10.0,706.0,D,home_improvement,WA,MORTGAGE,4,0,0.5299,0.9,0.1139,0
100193,2023-03-15,48,94929.0,14308.0,36,15.0,687.0,C,home_improvement,WA,OWN,1,0,0.3778,0.9,0.0892,0
100194,2023-09-02,37,57444.0,20157.0,36,13.0,709.0,C,education,NY,RENT,0,0,0.0825,0.9,0.0917,0
100195,2023-05-27,65,92659.0,14813.0,60,9.0,685.0,A,debt_consolidation,GA,MORTGAGE,1,0,0.5134,0.9,0.0765,0
100196,2023-08-29,25,72363.0,25735.0,60,0.0,668.0,A,medical,TX,RENT,4,0,0.3265,0.9,0.095,1
100197,2022-04-07,36,45918.0,6010.0,36,9.0,742.0,E,small_business,NC,MORTGAGE,0,0,0.5916,0.9,0.1203,0
100198,2022-05-03,26,46295.0,10587.0,36,7.0,722.0,C,education,IL,RENT,1,0,0.3447,0.9,0.0777,1
100199,2022-07-25,36,118412.0,22101.0,36,7.0,774.0,B,home_improvement,FL,MORTGAGE,0,1,0.5354,0.9,0.0645,0
100200,2022-05-26,65,70307.0,29032.0,60,7.0,720.0,B,home_improvement,TX,MORTGAGE,1,1,0.7693,0.9,0.0787,1
100201,2023-06-08,37,124211.0,1000.0,36,8.0,678.0,B,medical,CA,OWN,0,0,0.6143,0.3422,0.0746,0
100202,2023-08-16,62,59591.0,30370.0,36,11.0,727.0,A,medical,WA,MORTGAGE,5,2,0.2163,0.9,0.05,1
100203,2023-05-26,43,83736.0,16739.0,36,3.0,571.0,A,debt_consolidation,WA,MORTGAGE,1,0,0.4978,0.9,0.1215,0
100204,2022-11-06,53,146780.0,1045.0,36,1.0,816.0,D,medical,GA,MORTGAGE,0,3,0.6727,0.1844,0.0582,0
100205,2023-05-30,42,43278.0,1000.0,60,0.0,706.0,B,debt_consolidation,NC,MORTGAGE,1,0,0.1761,0.2755,0.0873,0
